,SUBJECT_28
training duration,157.60069251060486
,train,valid,test
logloss,0.12336711642108386,0.13292445086889973,0.5263566029222706
accuracy,0.9783755274261603,0.9800759013282733,0.7822784810126582
macro-precision,0.9336329138270661,0.8986962289846905,0.7393192323854882
macro-recall,0.9310736016388893,0.9084840859202626,0.6992115821229745
macro-f1,0.9316244200560765,0.9013827160747024,0.7060664416951655
weighted-f1,0.9783677126411008,0.9799024655899732,0.776648667242439
micro-f1,0.9783755274261603,0.9800759013282733,0.7822784810126582
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,0.9996281145407214,0.9995920032639739,0.9540453074433657,0.966376811594203,0.9922848664688427,0.9649122807017544,0.9666666666666666,0.8404255319148937,0.8169014084507042,0.8709677419354839,0.8076923076923077
valid,1.0,1.0,1.0,0.9707602339181286,0.9792746113989639,0.9919571045576407,0.9333333333333333,1.0,0.8181818181818182,0.7368421052631577,0.8148148148148148,0.5714285714285715
test,1.0,1.0,1.0,0.4635761589403974,0.8080808080808081,0.6379310344827586,0.8571428571428571,1.0,0.0,missed_category,missed_category,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1474.0,74.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,42.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,18.0,0.0,1672.0,0.0,0.0,1.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,0.0,0.0,55.0,1.0,0.0,0.0,1.0,1.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,13.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,18.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,108.0,0.0
LIE_TO_STAND,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,63.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,166.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,1.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,2.0,0.0,185.0,0.0,0.0,0.0,0.0,1.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,11.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
WALKING_UPSTAIRS,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
WALKING_DOWNSTAIRS,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
SITTING,0.0,0.0,0.0,35.0,38.0,0.0,0.0,0.0,1.0,missed_category,missed_category,0.0
STANDING,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,missed_category,missed_category,0.0
LAYING,0.0,0.0,0.0,42.0,0.0,37.0,0.0,0.0,0.0,missed_category,missed_category,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,missed_category,missed_category,1.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,missed_category,missed_category,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,missed_category,4.0
LIE_TO_SIT,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
STAND_TO_LIE,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
LIE_TO_STAND,0,0,0,0,0,0,0,0,0,missed_category,missed_category,0
,index,real_category,predicted_category
0,23,6,10
1,24,3,8
2,86,3,4
3,87,3,4
4,88,3,4
5,89,3,4
6,90,3,4
7,91,3,4
8,92,3,4
9,93,3,4
10,94,3,4
11,95,3,4
12,96,3,4
13,97,3,4
14,98,3,4
15,99,3,4
16,100,3,4
17,101,3,4
18,102,3,4
19,103,3,4
20,104,3,4
21,105,3,4
22,106,3,4
23,107,3,4
24,108,3,4
25,109,8,10
26,110,8,10
27,111,5,3
28,112,5,3
29,113,5,3
30,114,5,3
31,115,5,3
32,116,5,3
33,117,5,3
34,118,5,3
35,119,5,3
36,120,5,3
37,121,5,3
38,122,5,3
39,123,5,3
40,124,5,3
41,125,5,3
42,126,5,3
43,127,5,3
44,128,5,3
45,129,5,3
46,130,5,3
47,131,5,3
48,132,5,3
49,133,5,3
50,134,5,3
51,288,3,4
52,289,3,4
53,290,3,4
54,291,3,4
55,292,3,4
56,293,3,4
57,294,3,4
58,295,3,4
59,296,3,4
60,297,3,4
61,298,3,4
62,299,3,4
63,300,3,4
64,301,3,4
65,302,3,4
66,303,8,10
67,304,8,10
68,305,5,3
69,306,5,3
70,307,5,3
71,308,5,3
72,309,5,3
73,310,5,3
74,311,5,3
75,312,5,3
76,313,5,3
77,314,5,3
78,315,5,3
79,316,5,3
80,317,5,3
81,318,5,3
82,319,5,3
83,320,5,3
84,321,5,3
85,322,5,3
