,SUBJECT_7
training duration,230.17365169525144
,train,valid,test
logloss,0.12488552312823986,0.1437921182808454,0.16162676781228502
accuracy,0.9781128914022411,0.9661016949152542,0.9811320754716981
macro-precision,0.9445500858309396,0.9022254232152632,0.9208563899868247
macro-recall,0.9376761789771693,0.8625033059159928,0.918892828999212
macro-f1,0.9407484085644687,0.8781401549022735,0.9178314237799292
weighted-f1,0.9778840686411024,0.9658997220478498,0.9809748848679649
micro-f1,0.9780081683945963,0.9661016949152542,0.9811320754716981
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996663329996663,0.9996281145407214,0.9995916700694161,0.9490529065969954,0.9618536309692003,0.9936342592592592,0.9333333333333333,0.9836065573770492,0.8633879781420764,0.868421052631579,0.8816326530612245,0.8551724137931035
valid,1.0,1.0,1.0,0.9314285714285715,0.9408740359897172,0.9921671018276764,0.923076923076923,0.8,0.6666666666666665,0.75,0.8275862068965518,0.7058823529411765
test,1.0,1.0,1.0,0.967741935483871,0.9724770642201834,1.0,missed_category,missed_category,0.5714285714285715,1.0,0.6666666666666665,1.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1453.0,104.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,30.0,1702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
